scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 m,P094-5_85_GRTS_PossibleCaARU_sample_draw_base,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,P094-5_85_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.9447561697266259,Open Fen,OBOG,0.05524383027337415,Open Bog,1
100 m,P094-5_85_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.7690451661973566,Open Fen,OBOG,0.2309548338026434,Open Bog,1
1 km,P094-5_85_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.48754582704424565,Open Fen,OBOG,0.4310945417953735,Open Bog,0.9186403688396192
1 m,P095-3_70_GRTS_PossibleCaARU_sample_draw_base,ConTRE,1,Coniferous Treed,NA,NA,NA,NA
50 m,P095-3_70_GRTS_PossibleCaARU_sample_draw_base,ConTRE,1,Coniferous Treed,NA,NA,NA,NA
100 m,P095-3_70_GRTS_PossibleCaARU_sample_draw_base,ConTRE,0.8966262806258004,Coniferous Treed,WAT,0.08051196647988278,Clear Open Water,0.9771382471056832
1 km,P095-3_70_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.6257363120632063,Coniferous Swamp,ConTRE,0.17754282555657366,Coniferous Treed,0.80327913761978
1 m,P115-2_113_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.656434673314019,Coniferous Swamp,TrFEN,0.343565326685981,Treed Fen,1
50 m,P115-2_113_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.7155084452511601,Treed Fen,ConSWA,0.2844915547488399,Coniferous Swamp,1
100 m,P115-2_113_GRTS_PossibleCaARU_sample_draw_base,TrFEN,0.660649875292667,Treed Fen,TrBOG,0.17008669942384178,Treed Bog,0.8307365747165089
1 km,P115-2_113_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.3147646184303558,Open Bog,TrBOG,0.21189442943193706,Treed Bog,0.5266590478622929
1 m,P121-1_79_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P121-1_79_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,P121-1_79_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
1 km,P121-1_79_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.5207363380068764,Open Bog,ConSWA,0.20701824911039232,Coniferous Swamp,0.7277545871172687
1 m,P121-3_81_GRTS_PossibleCaARU_sample_draw_base,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,P121-3_81_GRTS_PossibleCaARU_sample_draw_base,ConTRE,0.4019507423297938,Coniferous Treed,ConSWA,0.37954324837458714,Coniferous Swamp,0.781493990704381
100 m,P121-3_81_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.41235415743872117,Coniferous Swamp,ConTRE,0.34099687548732327,Coniferous Treed,0.7533510329260444
1 km,P121-3_81_GRTS_PossibleCaARU_sample_draw_base,ConTRE,0.41750034137864944,Coniferous Treed,ConSWA,0.4099522856928798,Coniferous Swamp,0.8274526270715292
1 m,P145-2_128_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P145-2_128_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.9309747706209678,Open Bog,TrBOG,0.06902522937903227,Treed Bog,1
100 m,P145-2_128_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.7170344858475638,Open Bog,TrBOG,0.2829655141524362,Treed Bog,1
1 km,P145-2_128_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.7889585068687139,Open Bog,TrBOG,0.2066145083159987,Treed Bog,0.9955730151847126
1 m,P145-3_129_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P145-3_129_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.8245997451923592,Treed Bog,OBOG,0.17540025480764074,Open Bog,1
100 m,P145-3_129_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.6728592016030076,Treed Bog,OBOG,0.32714079839699234,Open Bog,1
1 km,P145-3_129_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.6991929191760028,Open Bog,TrBOG,0.24957227313302585,Treed Bog,0.9487651923090287
1 m,P154-1_94_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P154-1_94_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.5691164229559377,Treed Bog,OBOG,0.43088357704406227,Open Bog,1
100 m,P154-1_94_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.5460312509818893,Open Bog,TrBOG,0.45047295840775214,Treed Bog,0.9965042093896415
1 km,P154-1_94_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.379343265837591,Open Bog,TrBOG,0.25561746277115643,Treed Bog,0.6349607286087474
1 m,P158-4_106_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P158-4_106_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,P158-4_106_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.9996753446401393,Open Bog,TrBOG,3.2465535986067633e-4,Treed Bog,1
1 km,P158-4_106_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.5293222782939174,Open Bog,TrBOG,0.38515665385011977,Treed Bog,0.9144789321440372
1 m,P161-1_119_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P161-1_119_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.9942519949194426,Open Bog,OFEN,0.005748005080557367,Open Fen,1
100 m,P161-1_119_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.7281799645513138,Open Bog,OFEN,0.22776427894696072,Open Fen,0.9559442434982746
1 km,P161-1_119_GRTS_PossibleCaARU_sample_draw_base,OFEN,0.2985952677013513,Open Fen,TrBOG,0.23140291243970484,Treed Bog,0.5299981801410562
1 m,P176-1_62_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,P176-1_62_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,P176-1_62_GRTS_PossibleCaARU_sample_draw_base,OBOG,1,Open Bog,NA,NA,NA,NA
1 km,P176-1_62_GRTS_PossibleCaARU_sample_draw_base,OBOG,0.3326431934615349,Open Bog,OFEN,0.27452319543688947,Open Fen,0.6071663888984244
1 m,P200-1_90_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P200-1_90_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
100 m,P200-1_90_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.9363415304085482,Treed Bog,ConSWA,0.06365846959145179,Coniferous Swamp,1
1 km,P200-1_90_GRTS_PossibleCaARU_sample_draw_base,ConSWA,0.4775778044973864,Coniferous Swamp,ConTRE,0.23456412668276008,Coniferous Treed,0.7121419311801465
1 m,P218-5_77_GRTS_PossibleCaARU_sample_draw_base,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,P218-5_77_GRTS_PossibleCaARU_sample_draw_base,TrBOG,0.9769213778942012,Treed Bog,TrFEN,0.023078622105798804,Treed Fen,1
