scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 m,100_P324-4_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,100_P324-4_2025_peat_sites_1028,TrBOG,0.9881263656988304,Treed Bog,TrFEN,0.011873634301169661,Treed Fen,1
100 m,100_P324-4_2025_peat_sites_1028,TrBOG,0.7681099838738108,Treed Bog,TrFEN,0.2098442615569811,Treed Fen,0.9779542454307919
1 km,100_P324-4_2025_peat_sites_1028,TrFEN,0.5216532728214635,Treed Fen,TrBOG,0.15646789917031992,Treed Bog,0.6781211719917833
1 m,102_P258-5_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,102_P258-5_2025_peat_sites_1028,OBOG,0.6129127180749923,Open Bog,WAT,0.2069682613589965,Clear Open Water,0.8198809794339887
100 m,102_P258-5_2025_peat_sites_1028,OFEN,0.48239041040643355,Open Fen,OBOG,0.3725927900965692,Open Bog,0.8549832005030027
1 km,102_P258-5_2025_peat_sites_1028,OFEN,0.27819117095048157,Open Fen,TrBOG,0.2535413785653603,Treed Bog,0.5317325495158418
1 m,103_P158-1_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,103_P158-1_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
100 m,103_P158-1_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
1 km,103_P158-1_2025_peat_sites_1028,OBOG,0.6111775798401698,Open Bog,TrBOG,0.340540136417164,Treed Bog,0.9517177162573338
1 m,104_P158-2_2025_peat_sites_1028,TrBOG,1,Treed Bog,NA,NA,NA,NA
50 m,104_P158-2_2025_peat_sites_1028,TrBOG,0.5878488204346163,Treed Bog,TrFEN,0.4121511795653838,Treed Fen,1
100 m,104_P158-2_2025_peat_sites_1028,TrBOG,0.5979597411498184,Treed Bog,TrFEN,0.4020402588501815,Treed Fen,1
1 km,104_P158-2_2025_peat_sites_1028,TrBOG,0.5140884894703738,Treed Bog,OBOG,0.2902588621375249,Open Bog,0.8043473516078987
